city,region,country
Кандалакша,Мурманская область,Россия
Кировск,Мурманская область,Россия
Ковдор,Мурманская область,Россия
Кола,Мурманская область,Россия
Мончегорск,Мурманская область,Россия
Мурманск,Мурманская область,Россия
Оленегорск,Мурманская область,Россия
Островной,Мурманская область,Россия
Полярные Зори,Мурманская область,Россия
Полярный,Мурманская область,Россия
Североморск,Мурманская область,Россия
Снежногорск,Мурманская область,Россия
Арзамас,Нижегородская область,Россия
Балахна,Нижегородская область,Россия
Богородск,Нижегородская область,Россия
Бор,Нижегородская область,Россия
Ветлуга,Нижегородская область,Россия
Володарск,Нижегородская область,Россия
Ворсма,Нижегородская область,Россия
Выкса,Нижегородская область,Россия
Горбатов,Нижегородская область,Россия
Городец,Нижегородская область,Россия
Дзержинск,Нижегородская область,Россия
Заволжье,Нижегородская область,Россия
Княгинино,Нижегородская область,Россия
Кстово,Нижегородская область,Россия
Кулебаки,Нижегородская область,Россия
Лукоянов,Нижегородская область,Россия
Лысково,Нижегородская область,Россия
Навашино,Нижегородская область,Россия
Нижний Новгород,Нижегородская область,Россия
Павлово,Нижегородская область,Россия
Первомайск,Нижегородская область,Россия
Перевоз,Нижегородская область,Россия
Саров,Нижегородская область,Россия
Семенов,Нижегородская область,Россия
Сергач,Нижегородская область,Россия
Урень,Нижегородская область,Россия
Чкаловск,Нижегородская область,Россия
Шахунья,Нижегородская область,Россия
Боровичи,Новгородская область,Россия
Валдай,Новгородская область,Россия
Великий Новгород,Новгородская область,Россия
Малая Вишера,Новгородская область,Россия
Окуловка,Новгородская область,Россия
Пестово,Новгородская область,Россия
Сольцы,Новгородская область,Россия
Старая Русса,Новгородская область,Россия
Холм,Новгородская область,Россия
Чудово,Новгородская область,Россия
Барабинск,Новосибирская область,Россия
Бердск,Новосибирская область,Россия
Болотное,Новосибирская область,Россия
Искитим,Новосибирская область,Россия
Карасук,Новосибирская область,Россия
Каргат,Новосибирская область,Россия
Куйбышев,Новосибирская область,Россия
Купино,Новосибирская область,Россия
Новосибирск,Новосибирская область,Россия
Обь,Новосибирская область,Россия
Татарск,Новосибирская область,Россия
Тогучин,Новосибирская область,Россия
Черепаново,Новосибирская область,Россия
Чулым,Новосибирская область,Россия
Исилькуль,Омская область,Россия
Калачинск,Омская область,Россия
Называевск,Омская область,Россия
Омск,Омская область,Россия
Тара,Омская область,Россия
Тюкалинск,Омская область,Россия
Абдулино,Оренбургская область,Россия
Бугуруслан,Оренбургская область,Россия
Бузулук,Оренбургская область,Россия
Гай,Оренбургская область,Россия
Кувандык,Оренбургская область,Россия
Медногорск,Оренбургская область,Россия
Новотроицк,Оренбургская область,Россия
Оренбург,Оренбургская область,Россия
Орск,Оренбургская область,Россия
Соль-Илецк,Оренбургская область,Россия
Сорочинск,Оренбургская область,Россия
Ясный,Оренбургская область,Россия
Болхов,Орловская область,Россия
Дмитровск,Орловская область,Россия
Ливны,Орловская область,Россия
Малоархангельск,Орловская область,Россия
Мценск,Орловская область,Россия
Новосиль,Орловская область,Россия
Орел,Орловская область,Россия
Белинский,Пензенская область,Россия
Городище,Пензенская область,Россия
Заречный,Пензенская область,Россия
Каменка,Пензенская область,Россия
Кузнецк,Пензенская область,Россия
Нижний Ломов,Пензенская область,Россия
Никольск,Пензенская область,Россия
Пенза,Пензенская область,Россия
Сердобск,Пензенская область,Россия
Спасск,Пензенская область,Россия
Сурск,Пензенская область,Россия
Александровск,Пермский край,Россия
Березники,Пермский край,Россия
Верещагино,Пермский край,Россия
Горнозаводск,Пермский край,Россия
Гремячинск,Пермский край,Россия
Губаха,Пермский край,Россия
Добрянка,Пермский край,Россия
Кизел,Пермский край,Россия
Красновишерск,Пермский край,Россия
Краснокамск,Пермский край,Россия
Кудымкар,Пермский край,Россия
Кунгур,Пермский край,Россия
Лысьва,Пермский край,Россия
Нытва,Пермский край,Россия
Оса,Пермский край,Россия
Оханск,Пермский край,Россия
Очер,Пермский край,Россия
Пермь,Пермский край,Россия
Соликамск,Пермский край,Россия
Усолье,Пермский край,Россия
Чайковский,Пермский край,Россия
Чердынь,Пермский край,Россия
Чермоз,Пермский край,Россия
Чернушка,Пермский край,Россия
Чусовой,Пермский край,Россия
Арсеньев,Приморский край,Россия
Артем,Приморский край,Россия
Большой Камень,Приморский край,Россия
Владивосток,Приморский край,Россия
Дальнегорск,Приморский край,Россия
Дальнереченск,Приморский край,Россия
Лесозаводск,Приморский край,Россия
Находка,Приморский край,Россия
Партизанск,Приморский край,Россия
Спасск-Дальний,Приморский край,Россия
Уссурийск,Приморский край,Россия
Фокино,Приморский край,Россия
Великие Луки,Псковская область,Россия
Гдов,Псковская область,Россия
Дно,Псковская область,Россия
Невель,Псковская область,Россия
Новоржев,Псковская область,Россия
Новосокольники,Псковская область,Россия
Опочка,Псковская область,Россия
Остров,Псковская область,Россия
Печоры,Псковская область,Россия
Порхов,Псковская область,Россия
Псков,Псковская область,Россия
Пустошка,Псковская область,Россия
Пыталово,Псковская область,Россия
Себеж,Псковская область,Россия
Адыгейск,Республика Адыгея,Россия
Майкоп,Республика Адыгея,Россия
Горно-Алтайск,Республика Алтай,Россия
Агидель,Республика Башкортостан,Россия
Баймак,Республика Башкортостан,Россия
Белебей,Республика Башкортостан,Россия
Белорецк,Республика Башкортостан,Россия
Бирск,Республика Башкортостан,Россия
Благовещенск,Республика Башкортостан,Россия
Давлеканово,Республика Башкортостан,Россия
Дюртюли,Республика Башкортостан,Россия
Ишимбай,Республика Башкортостан,Россия
Кумертау,Республика Башкортостан,Россия
Межгорье,Республика Башкортостан,Россия
Мелеуз,Республика Башкортостан,Россия
Нефтекамск,Республика Башкортостан,Россия
Октябрьский,Республика Башкортостан,Россия
Салават,Республика Башкортостан,Россия
Сибай,Республика Башкортостан,Россия
Стерлитамак,Республика Башкортостан,Россия
Туймазы,Республика Башкортостан,Россия
Уфа,Республика Башкортостан,Россия
Учалы,Республика Башкортостан,Россия
Янаул,Республика Башкортостан,Россия
Бабушкин,Республика Бурятия,Россия
Гусиноозерск,Республика Бурятия,Россия
Закаменск,Республика Бурятия,Россия
Кяхта,Республика Бурятия,Россия
Северобайкальск,Республика Бурятия,Россия
Улан-Удэ,Республика Бурятия,Россия
Буйнакск,Республика Дагестан,Россия
Дагестанские Огни,Республика Дагестан,Россия
Дербент,Республика Дагестан,Россия
Избербаш,Республика Дагестан,Россия
Каспийск,Республика Дагестан,Россия
Кизилюрт,Республика Дагестан,Россия
Кизляр,Республика Дагестан,Россия
Махачкала,Республика Дагестан,Россия
Хасавюрт,Республика Дагестан,Россия
Южно-Сухокумск,Республика Дагестан,Россия
Карабулак,Республика Ингушетия,Россия
Магас,Республика Ингушетия,Россия
Малгобек,Республика Ингушетия,Россия
Назрань,Республика Ингушетия,Россия
Сунжа,Республика Ингушетия,Россия
Городовиковск,Республика Калмыкия,Россия
Лагань,Республика Калмыкия,Россия
Элиста,Республика Калмыкия,Россия
Беломорск,Республика Карелия,Россия
Кемь,Республика Карелия,Россия
Кондопога,Республика Карелия,Россия
Костомукша,Республика Карелия,Россия
Лахденпохья,Республика Карелия,Россия
Медвежьегорск,Республика Карелия,Россия
Олонец,Республика Карелия,Россия
Петрозаводск,Республика Карелия,Россия
Питкяранта,Республика Карелия,Россия
Пудож,Республика Карелия,Россия
Сегежа,Республика Карелия,Россия
Сортавала,Республика Карелия,Россия
Суоярви,Республика Карелия,Россия
Воркута,Республика Коми,Россия
Вуктыл,Республика Коми,Россия
Емва,Республика Коми,Россия
Инта,Республика Коми,Россия
Микунь,Республика Коми,Россия
Печора,Республика Коми,Россия
Сосногорск,Республика Коми,Россия
Сыктывкар,Республика Коми,Россия
Усинск,Республика Коми,Россия
Ухта,Республика Коми,Россия
Алупка,Республика Крым,Россия
Алушта,Республика Крым,Россия
Армянск,Республика Крым,Россия
Бахчисарай,Республика Крым,Россия
Белогорск,Республика Крым,Россия
Джанкой,Республика Крым,Россия
Евпатория,Республика Крым,Россия
Керчь,Республика Крым,Россия
Красноперекопск,Республика Крым,Россия
Саки,Республика Крым,Россия
Симферополь,Республика Крым,Россия
Старый Крым,Республика Крым,Россия
Судак,Республика Крым,Россия
Феодосия,Республика Крым,Россия
Щелкино,Республика Крым,Россия
Ялта,Республика Крым,Россия
Волжск,Республика Марий Эл,Россия
Звенигово,Республика Марий Эл,Россия
Йошкар-Ола,Республика Марий Эл,Россия
Козьмодемьянск,Республика Марий Эл,Россия
Ардатов,Республика Мордовия,Россия
Инсар,Республика Мордовия,Россия
Ковылкино,Республика Мордовия,Россия
Краснослободск,Республика Мордовия,Россия
Рузаевка,Республика Мордовия,Россия
Саранск,Республика Мордовия,Россия
Темников,Республика Мордовия,Россия
Алдан,Республика Саха (Якутия),Россия
Верхоянск,Республика Саха (Якутия),Россия
Вилюйск,Республика Саха (Якутия),Россия
Ленск,Республика Саха (Якутия),Россия
Мирный,Республика Саха (Якутия),Россия
Нерюнгри,Республика Саха (Якутия),Россия
Нюрба,Республика Саха (Якутия),Россия
Олекминск,Республика Саха (Якутия),Россия
Покровск,Республика Саха (Якутия),Россия
Среднеколымск,Республика Саха (Якутия),Россия
Томмот,Республика Саха (Якутия),Россия
Удачный,Республика Саха (Якутия),Россия
Якутск,Республика Саха (Якутия),Россия
Алагир,Республика Северная Осетия – Алания,Россия
Ардон,Республика Северная Осетия – Алания,Россия
Беслан,Республика Северная Осетия – Алания,Россия
Владикавказ,Республика Северная Осетия – Алания,Россия
Дигора,Республика Северная Осетия – Алания,Россия
Моздок,Республика Северная Осетия – Алания,Россия
Агрыз,Республика Татарстан,Россия
Азнакаево,Республика Татарстан,Россия
Альметьевск,Республика Татарстан,Россия
Арск,Республика Татарстан,Россия
Бавлы,Республика Татарстан,Россия
Болгар,Республика Татарстан,Россия
Бугульма,Республика Татарстан,Россия
Буинск,Республика Татарстан,Россия
Елабуга,Республика Татарстан,Россия
Заинск,Республика Татарстан,Россия
Зеленодольск,Республика Татарстан,Россия
Иннополис,Республика Татарстан,Россия
Казань,Республика Татарстан,Россия
Кукмор,Республика Татарстан,Россия
Лаишево,Республика Татарстан,Россия
Лениногорск,Республика Татарстан,Россия
Мамадыш,Республика Татарстан,Россия
Менделеевск,Республика Татарстан,Россия
Мензелинск,Республика Татарстан,Россия
Набережные Челны,Республика Татарстан,Россия
Нижнекамск,Республика Татарстан,Россия
Нурлат,Республика Татарстан,Россия
Тетюши,Республика Татарстан,Россия
Чистополь,Республика Татарстан,Россия
Ак-Довурак,Республика Тыва,Россия
Кызыл,Республика Тыва,Россия
Туран,Республика Тыва,Россия
Чадан,Республика Тыва,Россия
Шагонар,Республика Тыва,Россия
Абаза,Республика Хакасия,Россия
Абакан,Республика Хакасия,Россия
Саяногорск,Республика Хакасия,Россия
Сорск,Республика Хакасия,Россия
Черногорск,Республика Хакасия,Россия
Азов,Ростовская область,Россия
Аксай,Ростовская область,Россия
Батайск,Ростовская область,Россия
Белая Калитва,Ростовская область,Россия
Волгодонск,Ростовская область,Россия
